,index,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,0,0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False
1,1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False
2,2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True
3,3,1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False
4,4,0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True
5,5,0,3,male,33.0,0,0,8.4583,Q,Third,man,True,Queenstown,no,True
6,6,0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True
7,7,0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False
8,8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False
9,9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False
10,10,1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False
11,11,1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True
12,12,0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True
13,13,0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False
14,14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True
15,15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True
16,16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False
17,17,1,2,male,33.0,0,0,13.0,S,Second,man,True,Southampton,yes,True
18,18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False
19,19,1,3,female,32.0,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True
20,20,0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True
21,21,1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True
22,22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True
23,23,1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True
24,24,0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False
25,25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False
26,26,0,3,male,33.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True
27,27,0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False
28,28,1,3,female,32.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True
29,29,0,3,male,33.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
30,30,0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True
31,31,1,1,female,32.0,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False
32,32,1,3,female,32.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True
33,33,0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True
34,34,0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False
35,35,0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False
36,36,1,3,male,33.0,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True
37,37,0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True
38,38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False
39,39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False
40,40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False
41,41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False
42,42,0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True
43,43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False
44,44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True
45,45,0,3,male,33.0,0,0,8.05,S,Third,man,True,Southampton,no,True
46,46,0,3,male,33.0,1,0,15.5,Q,Third,man,True,Queenstown,no,False
47,47,1,3,female,32.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True
48,48,0,3,male,33.0,2,0,21.6792,C,Third,man,True,Cherbourg,no,False
49,49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False
50,50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False
51,51,0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True
52,52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,yes,False
53,53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False
54,54,0,1,male,65.0,0,1,61.9792,C,First,man,True,Cherbourg,no,False
55,55,1,1,male,33.0,0,0,35.5,S,First,man,True,Southampton,yes,True
56,56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True
57,57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True
58,58,1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False
59,59,0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False
60,60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True
61,62,0,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,no,False
62,63,0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False
63,64,0,1,male,33.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True
64,65,1,3,male,33.0,1,1,15.2458,C,Third,man,True,Cherbourg,yes,False
65,66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True
66,67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True
67,68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False
68,69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False
69,70,0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True
70,71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False
71,72,0,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,no,True
72,73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False
73,74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True
74,75,0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True
75,76,0,3,male,33.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
76,77,0,3,male,33.0,0,0,8.05,S,Third,man,True,Southampton,no,True
77,78,1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False
78,79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True
79,80,0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True
80,81,1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True
81,82,1,3,female,32.0,0,0,7.7875,Q,Third,woman,False,Queenstown,yes,True
82,83,0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True
83,84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True
84,85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False
85,86,0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False
86,87,0,3,male,33.0,0,0,8.05,S,Third,man,True,Southampton,no,True
87,88,1,1,female,23.0,3,2,263.0,S,First,woman,False,Southampton,yes,False
88,89,0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True
89,90,0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True
90,91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True
91,92,0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False
92,93,0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False
93,94,0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True
94,95,0,3,male,33.0,0,0,8.05,S,Third,man,True,Southampton,no,True
95,96,0,1,male,71.0,0,0,34.6542,C,First,man,True,Cherbourg,no,True
96,97,1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False
97,98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False
98,99,0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False
99,100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True
100,101,0,3,male,33.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
101,102,0,1,male,21.0,0,1,77.2875,S,First,man,True,Southampton,no,False
102,103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True
103,104,0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False
104,105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
105,106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True
106,107,1,3,male,33.0,0,0,7.775,S,Third,man,True,Southampton,yes,True
107,108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
108,109,1,3,female,32.0,1,0,24.15,Q,Third,woman,False,Queenstown,yes,False
109,110,0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True
110,111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False
111,112,0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True
112,113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False
113,114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True
114,115,0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True
115,116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,Queenstown,no,True
116,117,0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False
117,118,0,1,male,24.0,0,1,247.5208,C,First,man,True,Cherbourg,no,False
118,119,0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False
119,120,0,2,male,21.0,2,0,73.5,S,Second,man,True,Southampton,no,False
120,121,0,3,male,33.0,0,0,8.05,S,Third,man,True,Southampton,no,True
121,122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False
122,123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True
123,124,0,1,male,54.0,0,1,77.2875,S,First,man,True,Southampton,no,False
124,125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False
125,126,0,3,male,33.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True
126,127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,Southampton,yes,True
127,128,1,3,female,32.0,1,1,22.3583,C,Third,woman,False,Cherbourg,yes,False
128,129,0,3,male,45.0,0,0,6.975,S,Third,man,True,Southampton,no,True
129,130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True
130,131,0,3,male,20.0,0,0,7.05,S,Third,man,True,Southampton,no,True
131,132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,Southampton,no,False
132,133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False
133,134,0,2,male,25.0,0,0,13.0,S,Second,man,True,Southampton,no,True
134,135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,Cherbourg,no,True
135,136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,Southampton,yes,False
136,137,0,1,male,37.0,1,0,53.1,S,First,man,True,Southampton,no,False
137,138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,Southampton,no,True
138,139,0,1,male,24.0,0,0,79.2,C,First,man,True,Cherbourg,no,True
139,140,0,3,female,32.0,0,2,15.2458,C,Third,woman,False,Cherbourg,no,False
140,141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,Southampton,yes,True
141,142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,Southampton,yes,False
142,143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,Queenstown,no,True
143,144,0,2,male,18.0,0,0,11.5,S,Second,man,True,Southampton,no,True
144,145,0,2,male,19.0,1,1,36.75,S,Second,man,True,Southampton,no,False
145,146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,Southampton,yes,True
146,147,0,3,female,9.0,2,2,34.375,S,Third,child,False,Southampton,no,False
147,148,0,2,male,36.5,0,2,26.0,S,Second,man,True,Southampton,no,False
148,149,0,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,no,True
149,150,0,2,male,51.0,0,0,12.525,S,Second,man,True,Southampton,no,True
150,151,1,1,female,22.0,1,0,66.6,S,First,woman,False,Southampton,yes,False
151,152,0,3,male,55.5,0,0,8.05,S,Third,man,True,Southampton,no,True
152,153,0,3,male,40.5,0,2,14.5,S,Third,man,True,Southampton,no,False
153,154,0,3,male,33.0,0,0,7.3125,S,Third,man,True,Southampton,no,True
154,155,0,1,male,51.0,0,1,61.3792,C,First,man,True,Cherbourg,no,False
155,156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,Queenstown,yes,True
156,157,0,3,male,30.0,0,0,8.05,S,Third,man,True,Southampton,no,True
157,158,0,3,male,33.0,0,0,8.6625,S,Third,man,True,Southampton,no,True
158,159,0,3,male,33.0,8,2,69.55,S,Third,man,True,Southampton,no,False
159,160,0,3,male,44.0,0,1,16.1,S,Third,man,True,Southampton,no,False
160,161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,Southampton,yes,True
161,162,0,3,male,26.0,0,0,7.775,S,Third,man,True,Southampton,no,True
162,163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,Southampton,no,True
163,164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,Southampton,no,False
164,165,1,3,male,9.0,0,2,20.525,S,Third,child,False,Southampton,yes,False
165,166,1,1,female,32.0,0,1,55.0,S,First,woman,False,Southampton,yes,False
166,167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,Southampton,no,False
167,168,0,1,male,33.0,0,0,25.925,S,First,man,True,Southampton,no,True
168,169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,Southampton,no,True
169,170,0,1,male,61.0,0,0,33.5,S,First,man,True,Southampton,no,True
170,171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False
171,172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,Southampton,yes,False
172,173,0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True
173,174,0,1,male,56.0,0,0,30.6958,C,First,man,True,Cherbourg,no,True
174,175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,Southampton,no,False
175,176,0,3,male,33.0,3,1,25.4667,S,Third,man,True,Southampton,no,False
176,177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,Cherbourg,no,True
177,178,0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True
178,179,0,3,male,36.0,0,0,0.0,S,Third,man,True,Southampton,no,True
179,180,0,3,female,32.0,8,2,69.55,S,Third,woman,False,Southampton,no,False
180,181,0,2,male,33.0,0,0,15.05,C,Second,man,True,Cherbourg,no,True
181,182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,Southampton,no,False
182,183,1,2,male,1.0,2,1,39.0,S,Second,child,False,Southampton,yes,False
183,184,1,3,female,4.0,0,2,22.025,S,Third,child,False,Southampton,yes,False
184,185,0,1,male,33.0,0,0,50.0,S,First,man,True,Southampton,no,True
185,186,1,3,female,32.0,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False
186,187,1,1,male,45.0,0,0,26.55,S,First,man,True,Southampton,yes,True
187,188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,Queenstown,no,False
188,189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
189,190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True
190,191,0,2,male,19.0,0,0,13.0,S,Second,man,True,Southampton,no,True
191,192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,Southampton,yes,False
192,193,1,2,male,3.0,1,1,26.0,S,Second,child,False,Southampton,yes,False
193,194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,Cherbourg,yes,True
194,195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,Cherbourg,yes,True
195,196,0,3,male,33.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True
196,197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,Southampton,no,False
197,198,1,3,female,32.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True
198,199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,Southampton,no,True
199,200,0,3,male,28.0,0,0,9.5,S,Third,man,True,Southampton,no,True
200,201,0,3,male,33.0,8,2,69.55,S,Third,man,True,Southampton,no,False
201,202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,Southampton,no,True
202,203,0,3,male,45.5,0,0,7.225,C,Third,man,True,Cherbourg,no,True
203,204,1,3,male,18.0,0,0,8.05,S,Third,man,True,Southampton,yes,True
204,205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,Southampton,no,False
205,206,0,3,male,32.0,1,0,15.85,S,Third,man,True,Southampton,no,False
